"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGR",12637.4485943025,1.51237399327531,0.32182830073361,4.69931945024054,2.61029875375243e-06,7.96436402558941e-05
"M6PR",11049.3300295534,1.60476741356108,0.398034436242471,4.03173009026662,5.53677534700677e-05,0.00100599350032001
"CASP10",1436.19781177364,1.91645640656871,0.288572565342986,6.64115940574908,3.11225220926671e-11,3.86243864670284e-09
"CFLAR",64863.0551416039,1.35255932824455,0.313095740894444,4.31995441515937,1.5606143479125e-05,0.000357527379885865
"CAMKK1",1314.42594031326,-1.326762835692,0.39790233770706,-3.33439316626679,0.000854857318592575,0.00889095562869368
"ARHGAP33",381.56755611459,-3.37862771827765,0.44044159359074,-7.67100057633769,1.70659780510746e-14,4.01427523250218e-12
"SLC25A13",1639.69589428329,1.58389909890698,0.380780645268885,4.15961031262113,3.18791026324348e-05,0.000645014929494958
"ACSM3",432.774687757124,-1.92314698371067,0.420689669076163,-4.57141481019468,4.8444223093207e-06,0.000132429484993579
"GDE1",1255.5396039945,-1.04212101435198,0.388569037716678,-2.68194558288979,0.00731953650745902,0.0467530483136686
"CACNA1G",5.16730687621461,4.34754326330984,1.28662414985019,3.37903129194026,0.000727417279599178,0.00787736838812193
"TNFRSF12A",715.14139370403,-1.32682041368132,0.481473058184052,-2.75575214672576,0.00585573510427317,0.0394457760320819
"BAIAP2L1",12.5258183914194,3.29553275940549,1.10130990988867,2.99237547016954,0.00276815576093752,0.0219581266314306
"KDM7A",8640.14891231459,-1.39813854712795,0.41603862862855,-3.36059791307562,0.000777739583478103,0.00827176342490986
"AGK",218.201871924702,1.45585713209946,0.467952603888359,3.11112091267855,0.0018637860681597,0.0164352782793386
"TTC22",156.39325752106,-1.23582076516097,0.379320743793722,-3.25798360722666,0.00112206887920813,0.0109759822811902
"DBF4",518.129995600129,2.25666902115598,0.453805993143948,4.97276161013626,6.60058086815182e-07,2.49575982022137e-05
"CEACAM21",511.759400125036,-1.58594509907698,0.490379892383829,-3.23411527207488,0.0012202019573834,0.011776462498048
"SYN1",30.0921411496009,2.05130948754474,0.567213201752757,3.61646992913061,0.000298647993453213,0.0038776317455488
"JARID2",5437.68609949992,-1.13208299332535,0.414981233627672,-2.72803418947151,0.00637130040428606,0.0419547642833017
"CAMK1G",77.6690051419711,6.65456482634784,0.987239249191265,6.7405796840018,1.57755957006128e-11,2.04567003479292e-09
"DLEC1",1498.69845955459,4.29463719680498,0.622927482737357,6.89428114157505,5.41378629504632e-12,7.71235795510507e-10
"MPND",145.15793913039,-1.23100000506983,0.280305168496035,-4.39164219366595,1.1249772497815e-05,0.000274182708263012
"MMP25",30931.1277656151,-1.84530220602691,0.578395242309467,-3.19038275394317,0.00142084479741716,0.0133251133087398
"IL32",1069.65125167458,1.65917363567044,0.519826855318248,3.19178129928409,0.00141398351010699,0.0132730730514869
"STARD3NL",2557.63801456524,2.10908759931968,0.385579470002293,5.46991674454851,4.50247030457293e-08,2.49535539153988e-06
"CD9",1199.00485748929,-2.24210314177465,0.742619539478865,-3.01918145508002,0.00253458675505448,0.020645919814474
"IFFO1",1163.46756177936,-1.06228110450938,0.282707730534157,-3.75752407796657,0.000171602859504913,0.00249021107957308
"GIPR",101.462284663949,-1.20429929197629,0.413158467169545,-2.91486048979385,0.00355847574918587,0.0265919489953014
"FUZ",258.529565097013,-1.75498771938155,0.420123106297772,-4.17731777441838,2.9496680331579e-05,0.000604563288049031
"HIVEP2",19714.9024171651,1.4065660758442,0.420458487769345,3.34531497581709,0.000821891756127888,0.00864139726336333
