"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DLEC1",1498.69845955459,4.0375563484203,0.623463752544939,6.47600815915802,9.41809569226879e-11,1.48826093571473e-07
"CLDN11",131.427504217695,1.55314707968099,0.43267560732225,3.58963402002977,0.000331142548754673,0.0208714148321927
"PHLDB1",53.4077259319183,-2.17780308740121,0.443077799919005,-4.91517085216032,8.87050662312649e-07,0.000203721676251773
"BIRC3",8042.87983201883,1.4064869013694,0.419230646062002,3.35492386966717,0.000793868288321602,0.039115251987837
"CD44",57681.0798080608,1.6276462819105,0.446090171298878,3.64869344054653,0.000263577399857444,0.0181090770715722
"SLAMF7",30431.5986587079,2.9693692838856,0.724539303963569,4.09828599724233,4.16220808074159e-05,0.00444833475218581
"POU2F2",14584.2718533352,1.4817200543579,0.38455335597956,3.85309354688524,0.000116634803486083,0.00997215724390889
"ARHGAP31",3945.56494348498,2.35093448122795,0.5662184605551,4.15199193421418,3.29593880961863e-05,0.00368262900430267
"FBXO42",2084.19283463717,1.0097579268758,0.287725848805239,3.50944460175806,0.000449043591746445,0.0261426088952805
"MSR1",53.977393224232,-2.65820424729473,0.771082977160324,-3.44736471434518,0.00056608383493916,0.0305450553179489
"CYBA",20135.9521717254,1.20238616476702,0.360905294303802,3.33158361416243,0.000863533543570015,0.0413505467194793
"EIF2AK2",2015.45889382882,-1.57539962364759,0.373448581032112,-4.21851816733005,2.45913159760273e-05,0.00294072261263596
"TRAF1",6015.35335798679,2.41194991314722,0.611185744249963,3.94634517548691,7.93531930722907e-05,0.0074386893658402
"GNA15",3800.92481600818,1.88361650520073,0.356566939320497,5.28264484865116,1.27332087496242e-07,4.20442950996918e-05
"PIGV",833.027897036881,1.30321768884811,0.298892716993688,4.36015203701209,1.29972107520042e-05,0.00176403247525514
"IFI35",353.387794387492,-1.61922317627368,0.421563279777453,-3.84099672326413,0.00012253575042522,0.010307446413145
"OTUD5",7123.25703695724,1.0349147058637,0.31046466265477,3.33343800551788,0.000857797855289669,0.0413505467194793
"BCL3",5993.71458639184,1.21092261041529,0.336962055264152,3.5936467964205,0.000326081797873177,0.0207893591191593
"PFN2",26.4130555035034,1.56524838716034,0.432322486062504,3.62055742558355,0.000293968993522164,0.019588783264129
"DHRS9",539.080883536518,-2.23888322335255,0.679620594364781,-3.29431338884773,0.000986624314487868,0.0454731035612815
"MGLL",1773.85217972686,2.3385216134976,0.663578546398925,3.5241067183202,0.000424913075121365,0.0250676052290932
"FNDC3B",20349.5948165644,1.31982407674199,0.381364715863053,3.46079231203952,0.00053858815300488,0.0295662176400173
"RBMS2",643.883861030934,2.16770430377213,0.447934145249847,4.83933704710775,1.30272954232667e-06,0.000282551820244048
"MLH1",749.942159577057,1.23702491304103,0.344454243939645,3.59126047887447,0.000329082530848424,0.0208604379081939
"NFKB2",36720.6619809701,1.75157931234419,0.416593382255737,4.20452985321053,2.61625407230336e-05,0.00311179509900899
"EDN1",383.777281448535,3.46701305955413,0.788625684852085,4.39627205421849,1.10125893301673e-05,0.00155179308121841
"SLC1A3",88.3554622642256,2.24335929248516,0.625612768894331,3.58585918322917,0.000335970225208064,0.0210557203747252
"RAB21",15750.4222297529,1.54211601970643,0.352872933510644,4.37017371767311,1.24147731274462e-05,0.00170591320433846
