"","x"
"1","RNVU1-7"
"2","SEMA6A"
"3","MMP14"
"4","IL1A"
"5","CLEC9A"
"6","ETV5"
"7","QRICH2"
"8","SLC11A2"
"9","HMGN2P46"
"10","MFSD2A"
"11","MDM1"
"12","C15orf48"
"13","HPN"
"14","DLEC1"
"15","IL1B"
"16","TRIM36"
"17","LAMB3"
"18","CCL23"
"19","OLIG1"
"20","AL663070.1"
"21","SCN1B"
"22","ZSCAN16-AS1"
"23","CYP19A1"
"24","AZIN1-AS1"
"25","COL13A1"
"26","RAB3C"
"27","TCFL5"
"28","CCM2L"
"29","AL031658.1"
"30","AL358933.1"
"31","CSF3"
"32","AL031666.2"
"33","SH2D3A"
"34","CPAMD8"
"35","SAMD14"
"36","TSPY26P"
"37","IRAK3"
"38","SRC"
"39","ZKSCAN8"
"40","HELZ2"
"41","SMG9"
"42","SGPP2"
"43","LINC01093"
"44","RAP1B"
"45","NPM1P52"
"46","AC025580.2"
"47","SMG7-AS1"
"48","AC008121.2"
"49","AL133163.2"
"50","MOK"
